VRP,,CHELTENHAM,-40.138194,175.660611,,,NZ,VFR
VRP,,CHERTSEY,-43.802222,171.935111,,,NZ,VFR
VRP,,CHIP MILL,-41.3205,173.16625,,,NZ,VFR
VRP,,CLARKS BEACH,-37.135583,174.697611,,,NZ,VFR
VRP,,CLARKS JUNCTION,-45.726167,170.047583,,,NZ,VFR
VRP,,CLENDON PARK,-37.029306,174.853806,,,NZ,VFR
VRP,,CLEVEDON,-36.991444,175.037417,,,NZ,VFR
VRP,,CLINTON FORKS,-44.882528,167.888389,,,NZ,VFR
VRP,,CLIVE,-39.584917,176.91325,,,NZ,VFR
VRP,,CLYDE DAM,-45.179194,169.30675,,,NZ,VFR
VRP,,CLYDEVALE,-46.102278,169.527861,,,NZ,VFR
VRP,,COALPIT SADDLE,-45.06075,168.944389,,,NZ,VFR
VRP,,CODFISH,-46.760778,167.588444,,,NZ,VFR
VRP,,COLLINS BAY,-45.119194,168.683389,,,NZ,VFR
VRP,,COLYTON,-40.226111,175.647056,,,NZ,VFR
VRP,,CONE ROCK,-43.498333,170.042861,,,NZ,VFR
VRP,,COOK SADDLE,-43.447778,170.04425,,,NZ,VFR
VRP,,CORINGA,-43.461944,172.491778,,,NZ,VFR
VRP,,CORNWALLIS,-37.011722,174.605139,,,NZ,VFR
VRP,,COROMANDEL TOWN,-36.755694,175.500833,,,NZ,VFR
VRP,,CORONET PEAK,-44.915889,168.739722,,,NZ,VFR
VRP,,CREIGHTON SADDLE,-45.001694,168.491722,,,NZ,VFR
VRP,,CROWN SADDLE,-44.993694,168.931056,,,NZ,VFR
VRP,,CUST,-43.310889,172.381694,,,NZ,VFR
VRP,,DACRE,-46.318667,168.621167,,,NZ,VFR
VRP,,DALE POINT,-44.599194,167.816722,,,NZ,VFR
VRP,,DARWIN CORNER,-43.531667,170.300083,,,NZ,VFR
VRP,,DASHWOOD PASS,-41.608083,174.053806,,,NZ,VFR
VRP,,DAVIS SNOWFIELD,-43.515,170.21675,,,NZ,VFR
VRP,,DE LA BECHE RIDGE,-43.525833,170.25925,,,NZ,VFR
VRP,,DEEP COVE,-45.465833,167.16175,,,NZ,VFR
VRP,,DEER PARK,-45.040583,168.723667,,,NZ,VFR
VRP,,DEVILS STAIRCASE,-45.247694,168.744444,,,NZ,VFR
